M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
1600_6560_1920,20.15232,770.2544031311155,2629,2327,2813
1600_6560_3456,36.274176,937.390844138661,2722,2563,2806
1600_6560_4992,52.396032,1022.7463521886868,2747,2678,2813
1600_6560_6528,68.517888,1074.5463304962261,2773,2677,2825
1600_7200_384,4.42368,296.9072164948454,2347,1669,2651
1600_7200_1920,22.1184,778.3783783783783,2652,2357,2784
1600_7200_3456,39.81312,949.4505494505495,2713,2597,2795
1600_7200_4992,57.50784,1037.1191135734073,2758,2675,2814
1600_7200_6528,75.20256,1090.423162583519,2785,2674,2832
1600_7840_384,4.816896,297.9100696643445,2283,1533,2664
1600_7840_1920,24.08448,785.3088480801335,2666,2420,2789
1600_7840_3456,43.352064,959.7823622761279,2735,2582,2809
1600_7840_4992,62.619648,1049.4594130770552,2768,2701,2799
1600_7840_6528,81.887232,1104.0728979704543,2798,2732,2830
2880_160_384,0.1769472,108.67924528301887,416.80,111.43,916.82
2880_160_1920,0.884736,140.4878048780488,585.93,461.52,1724.63
2880_160_3456,1.5925248,145.21008403361344,959.86,696.19,1664.08
2880_160_4992,2.3003136,147.11198428290766,1331.60,913.37,1532.01
2880_160_6528,3.0081024,148.1391830559758,1111.14,902.11,1502.92
2880_800_384,0.884736,238.01652892561984,597.44,479.27,2064.73
2880_800_1920,4.42368,472.1311475409836,2267.75,1504.91,2608.30
2880_800_3456,7.962624,530.0613496932515,2381.80,2051.43,2697.37
2880_800_4992,11.501568,556.3150074294205,2470.90,1968.10,2725.17
2880_800_6528,15.040512,571.2952158693115,2539.13,2338.39,2743.62
2880_1440_384,1.5925248,274.2857142857143,998.78,797.86,2278.29
2880_1440_1920,7.962624,640.0,2365.53,1915.47,2696.91
2880_1440_3456,14.3327232,751.304347826087,2522.21,2083.85,2736.04
2880_1440_4992,20.7028224,805.1612903225806,2632.22,2369.69,2783.01
2880_1440_6528,27.0729216,836.9230769230769,2658.79,2513.50,2782.99
2880_2080_384,2.3003136,291.36186770428014,1414.82,1128.16,2355.67
2880_2080_1920,11.501568,741.3861386138614,2483.67,2077.03,2750.91
2880_2080_3456,20.7028224,894.9800796812749,2612.82,2347.26,2768.68
2880_2080_4992,29.9040768,972.4675324675325,2693.84,2562.80,2793.60
2880_2080_6528,39.1053312,1019.1833466773419,2721.73,2558.83,2795.83
2880_2720_384,3.0081024,301.2923076923077,1803.95,1263.91,2492.21
2880_2720_1920,15.040512,809.2561983471074,2540.98,2104.01,2775.00
2880_2720_3456,27.0729216,995.7966101694915,2671.28,2485.69,2811.75
2880_2720_4992,39.1053312,1092.6695278969958,2721.51,2603.46,2810.40
2880_2720_6528,51.1377408,1152.0,2744.22,2660.51,2811.85
2880_3360_384,3.7158912,307.78625954198475,2166.53,1431.12,2576.90
2880_3360_1920,18.579456,857.8723404255319,2592.84,2259.18,2769.75
2880_3360_3456,33.4430208,1070.4424778761063,2696.32,2526.39,2810.10
2880_3360_4992,48.3065856,1183.2054176072236,2738.89,2614.20,2808.03
2880_3360_6528,63.1701504,1253.0895795246802,2773.00,2696.64,2816.01
2880_4000_384,4.42368,312.3644251626898,2323.17,1672.47,2643.37
2880_4000_1920,22.1184,894.4099378881988,2637.77,2326.54,2783.76
2880_4000_3456,39.81312,1127.9373368146214,2733.33,2652.79,2816.93
2880_4000_4992,57.50784,1253.8513060951104,2762,2705,2817
2880_4000_6528,75.20256,1332.6075122482307,2786.54,2686.29,2825.52
